sample_id,source,subject_type,signal_source,ch0_tg_proxy,ch1_na_proxy,ch2_k_proxy,ch3_cl_proxy,ch4_chol_proxy,ch5_ph_proxy,ch6_temp_proxy,ch7_noise,contact_ms,TG_mM,delta_I_I0,is_diabetic,is_human
TG_0000,Park2024_Fig2h,normal_beagle,computed_park_eq,0.1110385042042225,0.6829984854528512,0.47959754525911097,0.44680559213273097,0.24679835610086082,0.4616167224336399,0.5406323302042455,0.09016725176148131,2487,0.327,6.884387260661795,0,0
TG_0001,Park2024_Fig2h,normal_beagle,measured,0.17921145161290322,0.6627221182372132,0.31692347370813007,0.6165996316800474,0.48156581270472504,0.4501557531682029,0.5494548091503852,0.09262222644415748,2137,0.328,11.11111,0,0
TG_0002,Park2024_Fig2h,normal_beagle,computed_park_eq,0.10160330135113317,0.6311891079080595,0.4295835055926347,0.4873687420594126,0.38355586841671385,0.4778987721304084,0.5004501253974653,0.05495427649405375,989,0.331,6.299404683770256,0,0
TG_0003,Park2024_Fig2h,normal_beagle,measured,0.17921145161290322,0.5226516086332051,0.4855158027999262,0.5147385973801488,0.4949692657420365,0.543352578649596,0.5401958284715425,0.10204613078816695,1640,0.332,11.11111,0,0
TG_0004,Park2024_Fig2h,normal_beagle,computed_park_eq,0.0944319996062138,0.6710582566280392,0.43204574812188035,0.4366114704534337,0.34855307303338107,0.4568777042230437,0.5436524281455148,0.03881699724000254,2211,0.333,5.8547839755852555,0,0
TG_0005,Park2024_Fig2h,normal_beagle,measured,0.17921145161290322,0.5779277690223528,0.45602040635334323,0.5640130838029839,0.2554563366576581,0.6439169255529118,0.534259297635278,0.14092484123462837,1795,0.334,11.11111,0,0
TG_0006,Park2024_Fig2h,normal_beagle,measured,1.0,0.6494749947027713,0.5765622705069351,0.42654775061557587,0.2587948587257436,0.45904545778210765,0.5027731231534285,0.0583015934534223,1137,0.33,133.33333,0,0
TG_0007,Park2024_Fig2h,normal_beagle,measured,1.0,0.6349230330972699,0.47602534969915444,0.6895765921792414,0.3821102743060054,0.5051998364045087,0.5007391453992858,0.024790040859450375,1320,0.333,77.77778,0,0
TG_0008,Park2024_Fig2h,normal_beagle,measured,0.8960574193548387,0.6930611923241643,0.3596147044602517,0.4016566351370807,0.44463842853645025,0.5913714687695234,0.5310305017628691,0.11569055200289186,2313,0.33,55.55556,0,0
TG_0009,Park2024_Fig2h,normal_beagle,measured,0.5376343548387096,0.5896164321360682,0.3347607178575389,0.6589310277626781,0.38698943804826735,0.5161796049705298,0.48444908452002167,0.04664734825734933,1604,0.333,33.33333,0,0
TG_0010,Park2024_Fig2h,normal_beagle,computed_park_eq,0.09966413165672677,0.682401544584516,0.4912672414065639,0.6661638227728979,0.34166447754858476,0.47391884918766036,0.5299271351056096,0.11411775729253461,2041,0.333,6.17917616271706,0,0
TG_0011,Park2024_Fig2h,normal_beagle,measured,0.17921145161290322,0.558996229937239,0.3768204968283972,0.4121300768615294,0.41319886690573626,0.4721781641623663,0.5107535551306039,0.030257880350309428,1663,0.332,11.11111,0,0
TG_0012,Park2024_Fig2h,normal_beagle,computed_park_eq,0.07925841642708109,0.6271426727911757,0.5722699421778279,0.4747876687446625,0.3231148769106889,0.6011102277086098,0.49601587158441357,0.011546986474318949,2066,0.329,4.914021818479028,0,0
TG_0013,Park2024_Fig2h,normal_beagle,measured,0.17921145161290322,0.5403053218135011,0.5789092957027719,0.6424361138693251,0.3900211269531271,0.6242921180375436,0.5362570453829381,0.027985508832905376,2154,0.327,11.11111,0,0
TG_0014,Park2024_Fig2h,normal_beagle,measured,0.35842290322580644,0.5810862552513185,0.336626386410202,0.5068893514230924,0.4720485324637262,0.5044264498769271,0.5253383084378954,7.805654929737282e-05,1772,0.33,22.22222,0,0
TG_0015,Park2024_Fig2h,normal_beagle,measured,0.17921145161290322,0.7151826458140859,0.3020856391593572,0.5532241907732697,0.3252233009446337,0.49442156209414606,0.4883905757133578,0.05064227571054419,2197,0.331,11.11111,0,0
TG_0016,Park2024_Fig2h,normal_beagle,computed_park_eq,0.16642776771300632,0.5546910548932675,0.46743060060520236,0.5211508513174122,0.21946767413269447,0.5007830827868689,0.4972813243987021,0.10444564092596825,2210,0.467,10.318521598206392,0,0
TG_0017,Park2024_Fig2h,normal_beagle,computed_park_eq,0.12302765119100903,0.5092217368386331,0.482869300193969,0.5508037069686584,0.2154436253749968,0.5057292928473223,0.5435786120176658,0.035934283600045865,1953,0.444,7.62771437384256,0,0
TG_0018,Park2024_Fig2h,normal_beagle,measured,0.17921145161290322,0.632733645829284,0.4343349493719275,0.5658679267213984,0.3778090171638181,0.46617066526654305,0.5058758119242983,0.03632399074161388,1093,0.432,11.11111,0,0
TG_0019,Park2024_Fig2h,normal_beagle,computed_park_eq,0.11284500502623628,0.5919457831798133,0.4896917491780738,0.5900589132282684,0.36073240522242755,0.4680579540108817,0.5384711746912467,0.04811700974576037,2149,0.409,6.996390311626649,0,0
TG_0020,Park2024_Fig2h,normal_beagle,measured,0.17921145161290322,0.6739532016977204,0.5575076414441159,0.4977876715605654,0.2660723142696645,0.5922299064876035,0.5366650732297801,0.05229989809375941,1288,0.413,11.11111,0,0
