sample_id,source,subject_type,signal_source,ch0_tg_proxy,ch1_na_proxy,ch2_k_proxy,ch3_cl_proxy,ch4_chol_proxy,ch5_ph_proxy,ch6_temp_proxy,ch7_noise,contact_ms,Na_mmolL,K_mmolL,Cl_mmolL,V_Na_mV,V_K_mV,V_Cl_mV
EL_0000,Calimon2024_Nernst,synthetic_clinical,nernst_equation,0.17493479560112718,0.474318541158483,0.6852240172530507,0.444736088485441,0.44520389701483687,0.4969812522262477,0.5273736578867748,0.06460103572236826,1424,127.65758709180294,23.747486761653654,122.71740635847411,524.4227484282942,431.78066855661484,125.89550550467403
EL_0001,Calimon2024_Nernst,synthetic_clinical,nernst_equation,0.41713173141092436,0.6018910913859858,0.6455815724492544,0.6189788730763652,0.26532878556470535,0.4853246852049183,0.5050826050012568,0.09799353671392252,1159,135.2650518078083,22.608618817957723,112.39626251583682,526.064141527735,431.07467885196047,127.71068997356427
EL_0002,Calimon2024_Nernst,synthetic_clinical,nernst_equation,0.43163912945859706,0.3748316867373823,0.6130118825369915,0.694751840716343,0.3368865795656002,0.45572202871984707,0.5443913709372669,0.06461255129486441,1135,129.68857394818843,21.879550602860785,114.99885562446572,523.1427157250155,430.4946473762115,128.50005932590057
EL_0003,Calimon2024_Nernst,synthetic_clinical,nernst_equation,0.08682608200484537,0.28724200867692296,0.8971022755528872,0.6674156542351963,0.3287767623787511,0.6076410222143263,0.5300697491929024,0.12911923347902554,1521,118.12054819003234,24.86873778766758,110.9074939320785,522.0157562584665,435.5539945898634,128.2152829935218
EL_0004,Calimon2024_Nernst,synthetic_clinical,nernst_equation,0.34649663912661116,0.5535975488566874,0.608621666199181,0.21170147351480925,0.49904763104337213,0.6218036308741537,0.48053695595028517,0.0075833564306084615,1471,120.91032050367878,20.57008235614674,130.53175593536068,525.4427799000669,430.4164623008197,123.4678536808031
EL_0005,Calimon2024_Nernst,synthetic_clinical,nernst_equation,0.23696383828765183,0.7302015329530485,0.728334165987358,0.7018815701772609,0.3067282144982908,0.6184564197496432,0.5322493257816138,0.14882271528450722,1909,135.67375226389768,24.386584530355734,119.58797327724187,527.7150285955157,432.54841437358385,128.57433370239903
EL_0006,Calimon2024_Nernst,synthetic_clinical,nernst_equation,0.46449270033559426,0.3063962152225648,0.729068248725697,0.2681586758965845,0.47684748937951144,0.49738302379334187,0.5177723314509328,0.023839132525560407,2061,120.59811367475524,24.63528162595283,132.30880782992105,522.2622009865307,432.56148760502043,124.05599991113905
EL_0007,Calimon2024_Nernst,synthetic_clinical,nernst_equation,0.10505706037475054,0.6099043886418466,0.6053300347600201,0.6396559498308176,0.48251842098514225,0.5776112916565231,0.5397951719199574,0.14974427612728594,1515,135.84496734774518,23.5399858644045,103.7740487253943,526.1672434160024,430.35784185197843,127.92609463823862
EL_0008,Calimon2024_Nernst,synthetic_clinical,nernst_equation,0.45610795190238734,0.6654916468709533,0.5677147334965004,0.40237276854176296,0.21861357812654889,0.4663263299702677,0.5008945878951158,0.07712822713815169,804,131.8573025877523,21.287385498556727,133.88228971763405,526.8824485436837,429.6879534139431,125.45418312456557
EL_0009,Calimon2024_Nernst,synthetic_clinical,nernst_equation,0.397380416858257,0.5751778377505449,0.5978489996730714,0.43890215740330013,0.31867337440883714,0.5453239276302897,0.48720382198359774,0.001171260027057247,1402,129.97188184163312,21.783763496327058,122.37567701818126,525.720439453091,430.2246125877975,125.83473018409052
EL_0010,Calimon2024_Nernst,synthetic_clinical,nernst_equation,0.3492877056916119,0.6254404854444824,0.3095519776046577,0.5273483103618366,0.27124300850168725,0.5024343103483231,0.5143807222017316,0.06288554122460402,1127,130.53938003326303,19.398555184021582,125.27971340943316,526.3671362772693,425.0903497927006,126.75612319075272
EL_0011,Calimon2024_Nernst,synthetic_clinical,nernst_equation,0.4410832791310235,0.6519020188039939,0.5245581907579209,0.8050557506404248,0.43691908750264996,0.6343081886393548,0.48833497005141635,0.024470981434182443,2107,134.34930374895075,20.68944944718919,115.29184776109584,526.707599630706,428.9193813691888,129.6491568028614
EL_0012,Calimon2024_Nernst,synthetic_clinical,nernst_equation,0.21898802472331075,0.44718155688123207,0.6618251305552931,0.44532017480144914,0.35792408311846347,0.6061651666821857,0.5338239247063884,0.053133101705141385,2138,123.53586462865485,22.37451745237513,126.61430422212177,524.0735944868477,431.36395931502415,125.9015902582654
EL_0013,Calimon2024_Nernst,synthetic_clinical,nernst_equation,0.18840958290282617,0.524905572701924,0.2586663418627723,0.2531952456654352,0.3593457697905659,0.6383606719201954,0.5200832071720034,0.13857516546350462,956,131.33024009064547,19.160061679946388,120.1977312800869,525.0736188886599,424.1841308365699,123.90011749557348
EL_0014,Calimon2024_Nernst,synthetic_clinical,nernst_equation,0.49605520439651357,0.28665814915442206,0.49676286483060267,0.3863447831285609,0.3549981487405821,0.527028147262316,0.48399046162547843,0.057117560188816446,2173,123.77857714582072,20.932279215043028,114.35904593903794,522.0082441174176,428.42437622913445,125.28721064270385
EL_0015,Calimon2024_Nernst,synthetic_clinical,nernst_equation,0.5010538785941265,0.6367050179911787,0.6995352706367146,0.5743770039446529,0.2264540183722559,0.5173718764352174,0.5078379308256423,0.13645644980837665,1588,132.10569011865832,24.45338096726192,114.26141556733822,526.5120696971751,432.0355367313597,127.24604737547085
EL_0016,Calimon2024_Nernst,synthetic_clinical,nernst_equation,0.12019023233256237,0.5762504558635746,0.49576309406050256,0.6657280890182168,0.23573230393663425,0.6369723588504725,0.5007040330967815,0.03627216285557291,1972,135.19098666380748,21.157648405745,114.13550489153403,525.7342401332994,428.40657137693125,128.1977026835004
EL_0017,Calimon2024_Nernst,synthetic_clinical,nernst_equation,0.11318206651358281,0.36410843376334107,0.5378610907101948,0.6112980088481724,0.263285815775826,0.5240458971649947,0.5366119560314784,0.04038904747064664,1130,132.1203940633707,23.0227964867154,125.56730592207343,523.0047465976149,429.1562918436773,127.63067411817374
EL_0018,Calimon2024_Nernst,synthetic_clinical,nernst_equation,0.11734489133565823,0.5349102914445513,0.4175498375810396,0.6267622743231526,0.22137221457277972,0.6203861498247789,0.5342399058201495,0.03956012804175487,1288,134.94896782751647,22.28940885443669,118.33430289506542,525.2023431030517,427.013676611856,127.79177401438398
EL_0019,Calimon2024_Nernst,synthetic_clinical,nernst_equation,0.45099714275553016,0.5701504171134361,0.416081713789113,1.0,0.24996987502532184,0.4597823650556974,0.507686186017529,0.12805435709715593,1449,126.5869052037539,20.916927584684164,111.18253245934596,525.6557548988744,426.98753089134385,132.88238700321855
EL_0020,Calimon2024_Nernst,synthetic_clinical,nernst_equation,0.46986927046312377,0.31067689749440486,0.4207213824006874,0.22527576606198174,0.31419890129298955,0.5555144386438918,0.482052232614515,0.008739647031157849,1999,130.66266945289152,21.156573605602937,125.48941253994849,522.317277743477,427.0701584459508,123.60926467274545
EL_0021,Calimon2024_Nernst,synthetic_clinical,nernst_equation,0.38823519694347136,0.3968021607228467,0.55995356848444,0.8416209735007961,0.33985731089868154,0.6428918536559025,0.541532238031353,0.09666457402719278,1244,129.53933455413193,21.6619784384834,107.39016579479703,523.4253955360475,429.54973533426215,130.0300771651793
EL_0022,Calimon2024_Nernst,synthetic_clinical,nernst_equation,0.15087379134454681,0.5263559549264607,0.30850446582450125,0.24510609919405305,0.22940462956303564,0.6014321660909683,0.5422584281971096,0.1075064861107738,1712,129.12102231619463,18.179894693014024,132.32299333059797,525.0922800141972,425.07169472397425,123.81584833587253
EL_0023,Calimon2024_Nernst,synthetic_clinical,nernst_equation,0.5555440775608079,0.6245017384534178,0.6358789628130267,0.2573077740209074,0.24042677342200536,0.6430305104866078,0.5220838463843072,0.12198797360175306,2019,125.94390295915244,22.88675043737454,137.00324330306555,526.3550580297897,430.90188571204794,123.94296000188587
