ch0,ch1,ch2,ch3,ch4,ch5,ch6,ch7,contact_duration_s,glucose_mmol,sodium_meq,potassium_meq,chloride_meq,cholesterol
0.5463054511203748,0.5453766737778384,0.3230059094944626,0.6326320790349442,0.19455778560827044,0.4761775058271238,0.44904597675329566,0.06269176467764434,1.8355586841671383,0.47420297897101277,84.86792065465903,2.4743607871308315,75.31028738169138,1.783946439764077
0.6433599066243774,0.6505480255199643,0.3408485238643384,0.40751040089346563,0.24825043062284796,0.5664155614089195,0.5114272759798385,0.0005692690906436287,1.987566853061946,0.5763683926971856,101.49445076280452,2.312308594545737,52.16977200048436,2.300310523874977
0.8406858488151286,0.7481037795347514,0.3063660437582737,0.44973882526143105,0.4216876907983519,0.5409273913107076,0.5015071516424942,0.12710604439801523,2.3138110400578373,0.7163337023489658,113.48757434489528,2.230199560881872,61.67056473032706,3.0551188176105626
0.5381248287383101,0.6990974529691245,0.4475957052351641,0.4553375444566063,0.3842950685487677,0.6716393610634457,0.491520055183751,0.0,1.5257120734941083,0.5117746115108307,107.43429964000241,3.30940104047817,63.04291797970972,2.7659942772617443
0.49871594603699754,0.5317679459327066,0.5889382623332681,0.6846019101149559,0.46853886574072984,0.6327293258637954,0.4971276395941793,0.05670965381128323,2.4540442977674792,0.36931747540269394,85.13854831835646,3.865588021350282,84.72793639970526,3.478575226663702
0.5421201012423185,0.6108365192664963,0.619613799589474,0.6883631723924005,0.2567934005052264,0.5090150525264869,0.50653534601506,0.017276894676168945,0.7186856720009173,0.4759252216516881,95.44768915789899,3.864333390423464,88.0055945921941,2.509546912332164
0.490900337929586,0.6857567720270484,0.472446096857673,0.6521286476484628,0.33036611856508996,0.4707893540982788,0.5288282487335318,0.0016974936172425778,2.0728132143073976,0.46133671682252086,105.68407333006066,3.2845776044930424,79.96312649367322,2.544807085094991
0.7081152566860599,0.7315832805386461,0.42333894159552216,0.3991300013880938,0.3285774175060711,0.6075439526842709,0.5102312134892556,0.02877007250416956,0.027591154849888944,0.6419142483261471,113.0078042220078,2.973824424372337,57.63584917497983,2.7850369638038917
0.708072588073771,0.5402223266349717,0.41301945664639617,0.6801348135963314,0.3799310458905156,0.5264603976604529,0.5161376367015387,0.08987890373571324,2.3844339106249453,0.6984907352308691,85.81865658919993,2.783816229795671,84.74577018340683,2.61075054163274
0.4304857849104157,0.6588854261991588,0.6048032620720556,0.6800367484798825,0.33107031447864976,0.6017064019191418,0.5087167820193721,0.1530247148961373,0.2915294813123056,0.4472767520974294,102.36037710477423,3.795422250794153,85.51961705348364,2.823586930303719
0.694476921519335,0.6010380531495622,0.5488973290409711,0.6791163155865434,0.3821498462249519,0.5801389136103657,0.5337836045715674,0.0542228919687768,1.1267488579198321,0.6105322211587483,92.43346960527997,3.736559416796932,83.63346923081964,2.3742002796306103
